nodes,distance
"[6689518452, 6689518450]",10.482681
"[6689518452, 6689518450]",10.482681
"[6689518452, 6689518450]",11.974749
"[6689518452, 6689518450]",17.798428
"[6689296377, 5701018514]",18.241213
"[6689296377, 5701018514]",9.357479
"[5701018514, 6578447474]",6.401482
"[6689296377, 5701018514]",4.614742
"[10213545214, 6689296377]",0.633478
"[10213545214, 6689296376]",10.570172
"[6689518454, 6689296374]",6.561956
"[6689518455, 5872671841]",12.976734
"[6689518455, 6689296372]",3.488285
"[6689518455, 3877527249]",3.494227
"[6689518455, 3877527249]",2.125734
"[6689518455, 3877527249]",0.86061
"[6689518455, 3877527249]",4.455027
"[6689518455, 3877527249]",1.164742
"[6689518455, 3877527249]",11.443374
"[6661112995, 103012716]",12.085052
"[6661112995, 103012716]",2.707447
"[6661112995, 103012716]",1.689708
"[6661112995, 103012716]",8.359814
"[6661112995, 103012716]",10.829786
"[6661112995, 103012716]",16.373488
"[6661112995, 103012716]",20.09874
"[6661112995, 103012716]",20.770506
"[6661112995, 103012716]",14.229268
"[6661112995, 103012716]",14.120748
"[6661112995, 103012716]",13.774623
"[10168769256, 6661112994]",8.156696
"[10168769256, 6661112994]",2.723153
"[10168769256, 6661112994]",4.353196
"[10168769267, 10168769266]",7.016728
"[10168769267, 10168769266]",7.6882
"[10168769267, 10168769266]",7.471513
"[10168769267, 10168769266]",5.998867
"[10168769266, 10168769265]",10.200411
"[10168769266, 10168769265]",10.871615
"[10168769266, 10168769265]",11.434666
"[10168769266, 10168769265]",12.236061
"[10168769266, 10168769265]",12.690886
"[10168769266, 10168769265]",10.525091
"[10168769266, 10168769265]",12.79908
"[10168769273, 10168769245]",6.74556
"[10168769268, 6670759504]",1.530235
"[998227736, 98044811]",0.455602
"[998227736, 98044811]",0.151867
"[6661112992, 98044811]",1.288328
"[6661112992, 98044811]",1.063072
"[6661112992, 98044811]",1.591637
"[6661112992, 98044811]",1.743347
"[6661112992, 98044811]",1.743347
"[6670759503, 6661112987]",0.235549
"[6661112987, 977668083]",3.624554
"[10168769243, 5703675543]",4.863248
"[10164900076, 10164900077]",4.550144
"[10164900077, 10164900177]",5.232953
"[10164900077, 10164900177]",0.151867
"[10164900077, 10164900177]",0.60747
"[10164900077, 10164900177]",1.214879
"[10164900077, 10164900177]",0.60747
"[10164900077, 10164900177]",0.985281
"[10164900077, 10164900177]",1.667891
"[10164900077, 10164900177]",2.048538
"[10164900077, 10164900177]",2.653111
"[10164900177, 977668088]",4.62363
"[11099792664, 977668088]",4.547034
"[10164900091, 8830835285]",4.244024
"[10164900091, 8830835285]",4.47229
"[10164900091, 8830835285]",4.698575
"[11099792664, 977668088]",2.955843
"[11099792664, 977668088]",2.80445
"[11099792664, 977668088]",2.80445
"[11099792664, 977668088]",3.71339
"[11099792664, 10164900078]",4.31988
"[10164900078, 11099792657]",3.716241
"[10164900078, 11099792657]",3.565198
"[11099792657, 10164900085]",2.501836
"[11099792657, 10164900085]",1.897683
"[11099792657, 10164900085]",1.214879
"[11099792657, 10164900085]",0.455602
"[11099792657, 10164900085]",0.151867
"[10164900085, 10164900084]",0.489224
"[10164900085, 10164900084]",0.151867
"[10164900179, 10164900088]",2.612506
"[10164900179, 6671806364]",1.324113
"[6671806364, 103014252]",2.297697
"[6671806364, 103014252]",2.413917
"[977668051, 103014252]",0.311864
"[977668051, 103014252]",0.531434
"[977668051, 103014252]",3.239666
"[977668051, 103014252]",5.227129
"[11521595979, 2290010739]",5.123771
"[11521595979, 2290010739]",3.76848
"[11890857224, 6638957668]",0.207909
"[11890857224, 6638957668]",0.103955
"[6638957668, 6363607431]",0.838975
"[11802288131, 10164900147]",2.82636
"[10164900147, 10164900159]",2.82636
"[10164900147, 10164900159]",0.311864
"[10164900160, 10164900159]",0.430305
"[10164900160, 10164900159]",0.736057
"[10164900160, 10164900159]",0.736057
"[10164900160, 10164900159]",0.531434
"[10164900160, 10164900148]",0.531434
"[10164900160, 10164900148]",0.103955
"[10164900160, 10164900148]",0.207909
"[10164900148, 10164900149]",0.736057
"[10164900148, 10164900149]",0.311864
"[10164900148, 10164900149]",2.620005
"[10164900148, 10164900149]",1.369431
"[10164900148, 10164900149]",1.369431
"[6539666885, 5698375007]",1.045426
"[6539666885, 5698375007]",0.531434
"[6539666885, 5698375007]",1.574963
"[6539666885, 5698375007]",0.311864
"[6539666885, 5698375007]",0.311864
"[6539666885, 5698375007]",2.413917
"[6539666885, 5698375007]",2.723153
"[6539666885, 5698375007]",3.885954
"[6638980153, 6638980150]",5.255193
"[6539666885, 5698375007]",4.621991
"[10164900167, 10164900166]",2.908388
"[10164900167, 6535273107]",5.136911
"[10164900166, 6535273108]",5.136911
"[10164900166, 6535273108]",4.40105
"[6535273108, 6535273107]",1.563849
"[6535273108, 6535273107]",1.78355
"[6670885129, 2290010724]",4.607382
"[6539667045, 6670885129]",4.827834
"[6638972474, 6539667045]",4.827834
"[6672539117, 6638972474]",4.40105
"[6672539117, 6638972474]",4.91713
"[6638972483, 977668052]",4.40105
"[6638972483, 977668052]",2.620005
"[6638972483, 977668052]",3.032927
"[6672539117, 6638972484]",4.607382
